time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Volume,RSI,Regular Bullish Label,Regular Bearish Label
1736626500,94222.22759690558,94483.04,94206.97,94347.31499999999,94348.57022524402,94333.57138370487,94479.66562322884,94926.91116526557,95476.69103990264,95905.85736849743,96287.05668984562,96408.15505159796,94350.9782003592,94331.7230695895,94446.36510821404,94861.7160075199,95416.10808432262,95859.86140847247,96243.36017513389,96436.69757209622,57.13202,52.4435353823674,NaN,NaN
1736627400,94284.77129845278,94499.29,94284.77129845278,94462.45999999999,94351.10110912748,94335.34915772273,94479.51856662004,94924.45375169274,95473.37113469838,95902.93551147617,96284.77308948286,96406.6496782505,94353.60130152722,94333.63163791665,94446.51076334332,94859.47927918646,95412.80254503555,95856.86590706096,96240.99980379507,96435.0800075144,53.8447,59.12234911950441,NaN,NaN
1736628300,94373.61564922638,94668.31,94373.61564922638,94548.45999999999,94355.48686225798,94338.2886176162,94480.10780964038,94922.46436676315,95470.34360234257,95900.19365821408,96282.59998173632,96405.21200731955,94358.18621207951,94336.76781838502,94447.43338086962,94857.73687426104,95409.80655701116,95854.06117842846,96238.75654361774,96433.53423118708,131.92253,63.27125780754535,NaN,NaN
1736629200,94461.03782461319,94725,94461.03782461319,94637.12,94361.74537643003,94342.410429787,94481.44979417337,94920.95460820885,95467.61619284227,95897.63682894644,96280.54055747883,96403.84404445122,94364.74936003058,94341.15252176626,94449.15000185723,94856.50092538563,95407.12826738547,95851.45251566655,96236.63376489856,96432.06236373015,212.43711,66.99085707642799,NaN,NaN
1736630100,94549.07891230659,94877.99,94549.07891230659,94752.5325,94370.42953473158,94348.06728592787,94483.76674037702,94920.06348594319,95465.27549335669,95895.31880398907,96278.62815690627,96402.56643397195,94373.87366920632,94347.15806889375,94451.89554482684,94855.918469221,95404.8593045869,95849.09684575086,96234.66676521016,96430.68626388276,133.29248,71.09458957103367,NaN,NaN
1736631000,94650.8057061533,94808.93,94650.8057061533,94757.00749999999,94379.02015618198,94353.70784060472,94486.1021314849,94919.20075585884,95462.95710385307,95893.01453009435,96276.72375057722,96401.29327425515,94382.88858287205,94353.14127226757,94454.6567389913,94855.36434614412,95402.61371774258,95846.75581821441,96232.70830362604,96429.31495805409,91.22746,71.24386905395902,NaN,NaN
1736631900,94703.90660307664,95050.94,94697.43,94860.2825,94389.7148749335,94360.69507728603,94489.30025429273,94918.88901905535,95460.98435555895,95890.92397942615,96274.9509830546,96400.10100286307,94394.12138092212,94360.54479384031,94458.3275603579,94855.39189882678,95400.73388683186,95844.64119159445,96230.88931647743,96428.0293927464,381.10058,74.51496353616778,NaN,NaN
1736632800,94782.09455153832,95005,94771.15,94880.96250000001,94400.63148882387,94367.87117966829,94492.64779485433,94918.68834964235,95459.08575701375,95888.87952299007,96273.20631661774,96398.92565392469,94405.57646607689,94368.14213261637,94462.1523109429,94855.53515149442,95398.93225290871,95842.57542805406,96229.10014905997,96426.76182462453,259.40982,75.12515075616882,NaN,NaN
1736633700,94831.52852576916,94831.52852576916,94724.05,94766.43,94408.76034462778,94373.36854270735,94494.98781370174,94917.8827499088,95456.8184713934,95886.60735796377,96271.32048893737,96397.66260119437,94414.06713746332,94373.95655403803,94464.90595518776,94855.03596297064,95396.73987074957,95840.26857826188,96227.16155376632,96425.4014544282,60.90167,65.73755680130785,NaN,NaN
1736634600,94798.97926288458,94799.4,94625.1,94697.8825,94415.18528141383,94377.84459729069,94496.72195631967,94916.7187274225,95454.33422926118,95884.20103234037,96269.35122987737,96396.34749086463,94420.7451459936,94378.68539996448,94467.01434020868,94854.15555141338,95394.31748818199,95837.81973350677,96225.1346762928,96423.986035375,139.27222,60.837638372358455,NaN,NaN
1736635500,94748.4308814423,94748.4308814423,94561,94622.81749999999,94419.79933071574,94381.22353387979,94497.79969600924,94915.16369447317,95451.6124069068,95881.64762438016,96267.29048678617,96394.97532065894,94425.49978961727,94382.24937222777,94468.42432355521,94852.85953992087,95391.64331144652,95835.21522711126,96223.01099547598,96422.51027254388,73.11218,55.92191039245005,NaN,NaN
