time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,RSI,RSI
1610301600,1280.8787148059428,1310.35,1170,1258.8525,910.114342073691,809.431464751544,713.7015553321174,622.7894254142371,535.5663401990256,452.7515390008063,383.21071046229787,351.78431514445094,922.5228701847346,821.1304115699646,724.8622517444539,633.3937130816471,545.7966867977507,462.20353455915824,390.1028339332448,353.1501217834822,68.17332644673479,90.96658368711729
1610323200,1269.8656074029714,1269.8656074029714,1010.91,1154.8325,915.5525233609422,814.1956169618676,717.4719052865438,625.6044681369132,537.5933980052481,454.1727555210476,384.17644486722617,352.4056290205481,927.9889791215644,826.0019749047096,728.7533852128299,636.3149387786686,547.9077294778278,463.68826974767023,391.11639213876737,353.8069692871418,50.52103978747884,90.96658368711729
1610344800,1212.3490537014857,1212.3490537014857,1011.1,1080.7849999999999,919.2243561751435,817.8727119003246,720.5771454122998,628.0128307393634,539.3714392556401,455.4412013600738,385.04829537427594,352.9691720541879,931.5841796128217,829.7214351250789,731.939191681492,638.8049671328498,549.7547910740918,465.0110923205584,392.0304658403727,354.4026088043174,42.15349077103097,90.96658368711729
1610366400,1146.5670268507429,1146.5670268507429,915,1021.0174999999999,921.4864260379181,820.6747089775615,723.1450116908272,630.0922205238112,540.9480221058672,456.5860926528672,385.8442518256223,353.4860372982465,933.6884930336964,832.5140784079244,734.5552849694424,640.946213815579,551.3882839993116,466.2029602898605,392.86411333428873,354.94879060783705,36.848494245658536,90.96658368711729
1610388000,1083.7922634253714,1094,945,1031.04,923.9209499037422,823.5762991985607,725.7765927874868,632.2136373464365,542.5522511660771,457.7489548134889,386.6517558909219,354.01025699859605,935.9791167270212,835.412267044305,737.2384045624791,643.1316131779566,553.0508549386554,467.41375780263684,393.70993955916043,355.5027367032014,38.25186070388544,71.14821815731828
1610409600,1057.4161317126857,1129.61,1038.34,1096.1399999999999,927.7480399058812,827.3357985199599,728.9420919944314,634.6682741858733,544.3643223570228,459.0412443786438,387.5397261588932,354.5844386179395,939.7476080981501,839.2185113210305,740.4863828017327,645.6694752890045,554.9333129804626,468.7615096615808,394.6409270481476,356.1095677259763,46.55900119925381,71.14821815731828
1610431200,1076.778065856343,1150.02,1065.95,1111.1825,931.8243612413061,831.250925436926,732.2091040286671,637.1895134758952,546.2197010072454,460.3613683778773,388.4454117331624,355.1698142940571,943.7813702605465,843.1887885280228,743.8410987944771,648.277391393828,556.8613864190052,470.1386178938175,395.59061766836214,356.72822641690135,48.29011248763188,71.14821815731828
1610452800,1093.9802829281714,1126.88,1006.33,1087.5075000000002,935.2839865470548,834.7854988791753,735.2458424557725,639.572148325229,547.9915104965834,461.6308949601083,389.32033299507333,355.7364198535975,947.1631615485337,846.7554850458619,746.9512019728077,650.7380642711735,558.700714369026,471.4620238576035,396.5076711903391,357.3269804304885,45.776777979080364,71.14821815731828
1610474400,1090.7438914640857,1122.93,1025,1078.935,938.4762312904536,838.1530782049798,738.1833566228172,641.8968194981114,549.7294597257271,462.8804984116061,390.1834302003361,356.2959545384303,950.2636753944506,850.1449670159952,749.9555802354972,653.1369266562089,560.50395279409,472.76421673250684,397.41214743793313,357.9182201024013,44.866207374746885,64.78786040773292
1610496000,1084.8394457320428,1084.8394457320428,987.48,1033.435,940.5864261506657,840.8466219538766,740.7068749422803,643.9684500827775,551.3127839164775,464.03546703830324,390.9885010010866,356.81985321963845,952.2206477381106,852.8207339208712,752.5210048487506,655.2674480755018,562.1432285209736,473.9660833633053,398.2551200722102,358.4716955468073,40.28575380526939,64.78786040773292
1610517600,1059.1372228660214,1096.64,1031.87,1056.5875,943.1642277917621,843.8223582027887,743.406709344483,646.1516196590591,552.9667109740341,465.23496508073583,391.82154104989627,357.3612595227567,954.6763383795669,855.7954312358951,755.2727378365447,657.5157396829219,563.8570734827726,475.2150038705651,399.12766133122653,359.04368719322537,43.449466325501646,64.78786040773292
1610539200,1057.8623614330108,1084,1045.07,1066.2125,945.898633840834,846.8898084344744,746.1657331962396,648.3741639994873,554.6467299233826,466.4515187951473,392.66558480327564,357.9096937513658,957.3007186529888,858.8672132616484,758.0866723357615,659.8053573877795,565.5983401258133,476.4818795321502,400.0118029331732,359.62309629835175,44.75974084324101,64.78786040773292
1610560800,1062.0374307165055,1137.65,1062.0374307165055,1103.3775,949.3981641999266,850.4275696974472,749.2188252202034,650.7815890576911,556.4429026568577,467.7408426437401,393.55508657448553,358.4864580115195,960.7378193905656,862.4367064987047,761.2114762060261,662.2903553856071,567.4623926730375,477.82570722875863,400.94403049721143,360.23248130752967,49.61431191183879,64.96759211170996
1610582400,1082.7074653582526,1147.97,1082.7074653582526,1118.58,953.1577605510392,854.1262239085169,752.3757583379794,653.2567129251107,558.2829586219743,469.05833081652605,394.4625019855312,359.0745381213752,964.451753051964,866.1760246520082,764.4455804937544,664.8465998932508,569.3726790069264,479.19924269021897,401.89517160987253,360.85382298609784,51.49221076273781,64.96759211170996
1610604000,1100.6437326791263,1174.73,1100.6437326791263,1139.3049999999998,957.2943658721273,858.0597242683993,755.6828458735522,655.828396983708,560.1848310978435,470.4151054505007,395.39472038104367,359.6781980531962,968.5659470978002,870.1633089636578,767.8379734304625,667.5046301459496,571.3481809861051,480.6142603907758,402.87252062032996,361.4916363224468,54.00875395628486,64.96759211170996
1610625600,1119.974366339563,1247.55,1119.974366339563,1195.1725000000001,962.5805466305245,862.7095556578007,759.4391677036928,658.6820694864397,562.2633504723186,471.8822256823822,396.395693822369,360.32461530808735,973.8978659896167,874.907968686816,771.7052542138972,670.4607526661404,573.5104836516646,482.1460036696809,403.9226199965787,362.17470134799174,60.028675463950854,64.96759211170996
1610647200,1157.5734331697815,1235.84,1157.5734331697815,1212.6225,968.1370344831795,867.5359410970035,763.3125295181911,661.6129712351886,564.3921856589886,473.3816999218916,397.41725428066394,360.9840334006923,979.5149162016256,879.8381078300743,775.6954555332285,673.4980733794953,575.725776602612,483.71186968539433,404.9944554902877,362.87150413263083,61.714345642636864,70.33000249580691
1610668800,1185.0979665848909,1256.98,1185,1214.8075,973.6186003835533,872.3258936335966,767.1714608898305,664.5399264138384,566.5212046912014,474.88256186536955,398.4402708585354,361.6446318274616,985.0512122909992,884.7281719493433,779.6693201890364,676.5306191868931,577.9409645519963,485.2790628907847,406.06776635113556,363.56952625132595,61.930835771901144,70.33000249580691
1610690400,1199.9527332924454,1247.88,1175.41,1208.6924999999999,978.8424648194743,876.9654330317538,770.9451449847893,667.4190405597969,568.6232383910666,476.36800708426557,399.4543537485748,362.29998801173434,990.3133602370933,889.4575781982579,783.5518829022578,679.5119182390673,580.1272783663742,486.8297883722621,407.13154996100815,364.2619662134306,60.8930693971374,70.33000249580691
1610712000,1204.3226166462227,1230.64,1069.42,1170.285,983.0967433790415,881.0112201623504,774.3583061387654,670.0797070118615,570.5926713259568,477.7726973533258,400.4190979866867,362.925121483292,994.547987055044,893.5572485895242,787.051730115812,682.2613472685404,582.1728857203902,488.2948584936506,408.14301907968144,364.92237017392756,54.69387046886571,70.33000249580691
1610733600,1187.3038083231113,1187.3038083231113,1111.52,1152.48,986.8608157483961,884.7556171256283,777.5901154880067,672.6320895144443,572.4973761661337,479.1385016096956,401.3603506800701,363.5359956639626,998.2640344184548,897.3371427706991,790.3587732821848,684.8956254351032,584.1496868097477,489.71862085486464,409.1295492068124,365.5676447579719,52.04849973298746,70.71542303040803
1610755200,1169.8919041615557,1198.1,1151.77,1170.615,990.9442420650985,888.6985051652748,780.9493025351178,675.2669197286535,574.4552079953771,480.5382516064371,402.3231224564405,364.16042816248176,1002.3193512556676,901.3266005404699,793.8000061031605,687.6167423794443,586.182495520979,491.1782058048006,410.1388075908988,366.22724930958356,54.464295481808676,70.71542303040803
